b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'122624736',b'33.6396133',b'-117.8046646',b'boddushr',b'10297538',b'6',b'79155618',b'2020-01-03T12:47:32Z'
b'122624865',b'33.6374850',b'-117.8197096',b'Evanator',b'451067',b'5',b'12425582',b'2012-07-22T06:08:19Z'
b'122625735',b'33.7009233',b'-117.7870584',b'SJFriedl',b'2709708',b'5',b'34047015',b'2015-09-15T18:57:14Z'
b'122625910',b'33.6382559',b'-117.7986925',b'techlady',b'104962',b'5',b'5193305',b'2010-07-11T19:02:39Z'
b'122625933',b'33.6355248',b'-117.7990546',b'techlady',b'104962',b'5',b'5193305',b'2010-07-11T19:02:43Z'
b'122625959',b'33.6359218',b'-117.8016557',b'techlady',b'104962',b'5',b'5193181',b'2010-07-11T18:48:03Z'
b'122626047',b'33.6338451',b'-117.8015598',b'Chris Bell in California',b'194231',b'7',b'12441513',b'2012-07-22T23:29:14Z'
b'122626443',b'33.6419011',b'-117.8627682',b'jaiaka',b'10297541',b'6',b'79106812',b'2020-01-02T09:46:52Z'
b'122626598',b'33.6939918',b'-117.8083753',b'Aaron Lidman',b'53073',b'4',b'13839857',b'2012-11-11T21:32:37Z'
b'122627436',b'33.6393265',b'-117.8004964',b'techlady',b'104962',b'5',b'5200933',b'2010-07-12T18:32:29Z'
b'122628142',b'33.6868439',b'-117.7921665',b'SJFriedl',b'2709708',b'4',b'37049520',b'2016-02-06T21:21:31Z'
b'122628857',b'33.7310002',b'-117.8026274',b'SJFriedl',b'2709708',b'5',b'39189407',b'2016-05-08T20:48:44Z'
b'122629258',b'33.6712958',b'-117.8477867',b'Rockear',b'725620',b'5',b'12480591',b'2012-07-25T04:56:04Z'
b'122630077',b'33.6963260',b'-117.8161534',b'Zian Choy',b'296869',b'7',b'15556514',b'2013-03-30T21:07:45Z'
b'122630659',b'33.6173910',b'-117.7408054',b'asrdd',b'10145706',b'4',b'79289944',b'2020-01-07T10:49:21Z'
b'122631315',b'33.6547573',b'-117.8386144',b'Rockear',b'725620',b'6',b'12442615',b'2012-07-23T00:50:33Z'
b'122631598',b'33.6154396',b'-117.7384476',b'woodpeck_fixbot',b'147510',b'3',b'3562701',b'2010-01-07T15:23:25Z'
b'122632712',b'33.6772317',b'-117.8187517',b'SJFriedl',b'2709708',b'7',b'34051009',b'2015-09-15T22:34:45Z'
b'122632742',b'33.7257007',b'-117.7569826',b'SJFriedl',b'2709708',b'5',b'30873377',b'2015-05-07T13:13:00Z'
